[2025-11-20T12:20:22.792Z] [INFO] AppBuilder prototype running on http://localhost:3000
[2025-11-20T12:33:21.159Z] [INFO] GET /admin -> 304 14ms
[2025-11-20T12:33:21.353Z] [INFO] GET /.well-known/appspecific/com.chrome.devtools.json -> 404 6ms
[2025-11-20T12:33:21.381Z] [INFO] GET /admin-static/style.css -> 304 3ms
[2025-11-20T12:33:21.407Z] [INFO] GET /admin-static/utils.js -> 304 2ms
[2025-11-20T12:33:21.599Z] [INFO] GET /admin-static/app.js -> 304 2ms
[2025-11-20T12:33:21.826Z] [INFO] GET /api/sites -> 304 5ms
[2025-11-20T12:33:25.139Z] [INFO] GET /api/sites/demo -> 304 3ms
[2025-11-20T12:33:25.252Z] [INFO] GET /api/sites/demo/pages -> 304 2ms
[2025-11-20T12:33:25.261Z] [INFO] GET /api/sites/demo/tree -> 304 2ms
[2025-11-20T12:33:25.557Z] [INFO] GET /site/demo/ -> 304 407ms
[2025-11-20T12:33:25.563Z] [INFO] GET /api/sites/demo/data -> 304 295ms
[2025-11-20T12:33:29.215Z] [INFO] GET /api/sites/demo/pages/content?path=index.html -> 200 1ms
[2025-11-20T12:33:29.340Z] [INFO] GET /site/demo/index.html -> 304 108ms
[2025-11-20T12:35:44.903Z] [INFO] GET /admin -> 304 4ms
[2025-11-20T12:35:45.075Z] [INFO] GET /.well-known/appspecific/com.chrome.devtools.json -> 404 25ms
[2025-11-20T12:35:45.189Z] [INFO] GET /admin-static/style.css -> 200 93ms
[2025-11-20T12:35:45.210Z] [INFO] GET /admin-static/utils.js -> 200 105ms
[2025-11-20T12:35:45.218Z] [INFO] GET /admin-static/app.js -> 200 56ms
[2025-11-20T12:35:45.402Z] [INFO] GET /api/sites -> 304 5ms
[2025-11-20T12:35:45.611Z] [INFO] GET /api/sites/demo -> 304 5ms
[2025-11-20T12:35:46.494Z] [INFO] GET /api/sites/demo/pages -> 304 4ms
[2025-11-20T12:35:46.543Z] [INFO] GET /api/sites/demo/pages/content?path=index.html -> 304 2ms
[2025-11-20T12:35:46.666Z] [INFO] GET /api/sites/demo/tree -> 304 2ms
[2025-11-20T12:35:46.924Z] [INFO] GET /site/demo/index.html -> 304 269ms
[2025-11-20T12:35:46.938Z] [INFO] GET /api/sites/demo/data -> 304 262ms
[2025-11-20T12:35:49.897Z] [INFO] GET /api/sites/demo/pages/content?path=index.html -> 304 2ms
[2025-11-20T12:35:49.999Z] [INFO] GET /site/demo/index.html -> 304 93ms
[2025-11-20T12:36:07.985Z] [INFO] POST /api/sites/demo/pages/save -> 200 3ms
[2025-11-20T12:36:08.258Z] [INFO] GET /site/demo/index.html -> 304 259ms
[2025-11-20T12:39:46.832Z] [INFO] AppBuilder prototype running on http://localhost:3000
[2025-11-20T12:39:49.420Z] [INFO] GET /admin -> 304 9ms
[2025-11-20T12:39:49.540Z] [INFO] GET /.well-known/appspecific/com.chrome.devtools.json -> 404 36ms
[2025-11-20T12:39:49.565Z] [INFO] GET /admin-static/style.css -> 200 17ms
[2025-11-20T12:39:49.625Z] [INFO] GET /admin-static/utils.js -> 200 72ms
[2025-11-20T12:39:49.648Z] [INFO] GET /admin-static/app.js -> 200 94ms
[2025-11-20T12:39:49.996Z] [INFO] GET /api/sites -> 304 4ms
[2025-11-20T12:39:50.635Z] [INFO] GET /api/sites/demo -> 304 2ms
[2025-11-20T12:39:50.863Z] [INFO] GET /api/sites/demo/pages -> 304 3ms
[2025-11-20T12:39:51.068Z] [INFO] GET /api/sites/demo/pages/content?path=index.html -> 200 4ms
[2025-11-20T12:39:51.088Z] [INFO] GET /api/sites/demo/tree -> 304 3ms
[2025-11-20T12:39:51.344Z] [INFO] GET /site/demo/index.html -> 304 266ms
[2025-11-20T12:39:51.477Z] [INFO] GET /api/sites/demo/data -> 304 379ms
[2025-11-20T12:42:12.096Z] [INFO] GET /admin -> 200 9ms
[2025-11-20T12:42:12.247Z] [INFO] GET /.well-known/appspecific/com.chrome.devtools.json -> 404 8ms
[2025-11-20T12:42:12.328Z] [INFO] GET /admin-static/app.js -> 304 35ms
[2025-11-20T12:42:12.377Z] [INFO] GET /admin-static/utils.js -> 304 85ms
[2025-11-20T12:42:12.468Z] [INFO] GET /admin-static/style.css -> 200 185ms
[2025-11-20T12:42:12.606Z] [INFO] GET /api/sites -> 304 2ms
[2025-11-20T12:42:12.800Z] [INFO] GET /api/sites/demo -> 304 3ms
[2025-11-20T12:42:13.499Z] [INFO] GET /api/sites/demo/pages -> 304 2ms
[2025-11-20T12:42:13.605Z] [INFO] GET /api/sites/demo/pages/content?path=index.html -> 304 2ms
[2025-11-20T12:42:13.630Z] [INFO] GET /api/sites/demo/tree -> 304 1ms
[2025-11-20T12:42:13.920Z] [INFO] GET /site/demo/index.html -> 304 297ms
[2025-11-20T12:42:13.955Z] [INFO] GET /api/sites/demo/data -> 304 265ms
[2025-11-20T12:42:45.771Z] [INFO] POST /api/sites/demo/pages/save -> 200 2ms
[2025-11-20T12:42:46.063Z] [INFO] GET /site/demo/index.html -> 200 284ms
[2025-11-20T12:42:47.499Z] [INFO] GET /site/demo/index.html -> 200 98ms
[2025-11-20T12:43:07.503Z] [INFO] GET /site/demo/index.html -> 304 310ms
[2025-11-20T12:43:38.402Z] [INFO] POST /api/sites/demo/pages/save -> 200 2ms
[2025-11-20T12:43:38.813Z] [INFO] GET /site/demo/index.html -> 200 402ms
[2025-11-20T12:43:39.541Z] [INFO] GET /site/demo/index.html -> 200 196ms
[2025-11-20T12:46:08.174Z] [INFO] GET /admin -> 200 6ms
[2025-11-20T12:46:08.291Z] [INFO] GET /.well-known/appspecific/com.chrome.devtools.json -> 404 1ms
[2025-11-20T12:46:08.315Z] [INFO] GET /admin-static/style.css -> 304 5ms
[2025-11-20T12:46:08.341Z] [INFO] GET /admin-static/utils.js -> 304 5ms
[2025-11-20T12:46:08.355Z] [INFO] GET /admin-static/app.js -> 200 17ms
[2025-11-20T12:46:08.930Z] [INFO] GET /api/sites -> 304 2ms
[2025-11-20T12:46:09.611Z] [INFO] GET /api/sites/demo -> 304 1ms
[2025-11-20T12:46:09.776Z] [INFO] GET /api/sites/demo/pages -> 304 4ms
[2025-11-20T12:46:09.832Z] [INFO] GET /api/sites/demo/pages/content?path=index.html -> 200 1ms
[2025-11-20T12:46:10.142Z] [INFO] GET /api/sites/demo/tree -> 304 10ms
[2025-11-20T12:46:10.511Z] [INFO] GET /site/demo/index.html -> 304 394ms
[2025-11-20T12:46:10.551Z] [INFO] GET /api/sites/demo/data -> 304 404ms
[2025-11-20T12:48:49.764Z] [INFO] GET /admin -> 200 4ms
[2025-11-20T12:48:49.874Z] [INFO] GET /.well-known/appspecific/com.chrome.devtools.json -> 404 2ms
[2025-11-20T12:48:49.906Z] [INFO] GET /admin-static/style.css -> 304 18ms
[2025-11-20T12:48:49.973Z] [INFO] GET /admin-static/utils.js -> 304 70ms
[2025-11-20T12:48:49.995Z] [INFO] GET /admin-static/app.js -> 304 91ms
[2025-11-20T12:48:50.252Z] [INFO] GET /api/sites -> 304 11ms
[2025-11-20T12:48:50.474Z] [INFO] GET /api/sites/demo -> 304 2ms
[2025-11-20T12:48:51.743Z] [INFO] GET /api/sites/demo/pages -> 304 14ms
[2025-11-20T12:48:51.842Z] [INFO] GET /api/sites/demo/pages/content?path=index.html -> 304 2ms
[2025-11-20T12:48:51.963Z] [INFO] GET /api/sites/demo/tree -> 304 3ms
[2025-11-20T12:48:52.241Z] [INFO] GET /api/sites/demo/data -> 304 263ms
[2025-11-20T12:48:52.257Z] [INFO] GET /site/demo/index.html -> 304 305ms
[2025-11-20T12:49:06.511Z] [INFO] POST /api/sites/demo/pages/save -> 200 1ms
[2025-11-20T12:49:06.786Z] [INFO] GET /site/demo/index.html?t=1763642946514 -> 200 266ms
[2025-11-20T12:50:25.176Z] [INFO] GET /admin -> 200 3ms
[2025-11-20T12:50:25.320Z] [INFO] GET /.well-known/appspecific/com.chrome.devtools.json -> 404 1ms
[2025-11-20T12:50:25.399Z] [INFO] GET /admin-static/style.css -> 304 1ms
[2025-11-20T12:50:25.440Z] [INFO] GET /admin-static/utils.js -> 304 15ms
[2025-11-20T12:50:25.488Z] [INFO] GET /admin-static/app.js -> 304 61ms
[2025-11-20T12:50:25.678Z] [INFO] GET /api/sites -> 304 5ms
[2025-11-20T12:50:25.998Z] [INFO] GET /api/sites/demo -> 304 3ms
[2025-11-20T12:50:27.276Z] [INFO] GET /api/sites/demo/pages -> 304 1ms
[2025-11-20T12:50:27.327Z] [INFO] GET /api/sites/demo/pages/content?path=index.html -> 304 2ms
[2025-11-20T12:50:27.446Z] [INFO] GET /api/sites/demo/tree -> 304 3ms
[2025-11-20T12:50:27.743Z] [INFO] GET /site/demo/index.html -> 304 315ms
[2025-11-20T12:50:28.206Z] [INFO] GET /api/sites/demo/data -> 304 98ms
[2025-11-20T12:50:58.382Z] [INFO] GET /admin -> 200 9ms
[2025-11-20T12:50:58.501Z] [INFO] GET /.well-known/appspecific/com.chrome.devtools.json -> 404 2ms
[2025-11-20T12:50:58.576Z] [INFO] GET /admin-static/style.css -> 304 29ms
[2025-11-20T12:50:58.609Z] [INFO] GET /admin-static/utils.js -> 304 60ms
[2025-11-20T12:50:58.643Z] [INFO] GET /admin-static/app.js -> 304 90ms
[2025-11-20T12:50:59.093Z] [INFO] GET /api/sites -> 304 5ms
[2025-11-20T12:50:59.321Z] [INFO] GET /api/sites/demo -> 304 1ms
[2025-11-20T12:51:00.552Z] [INFO] GET /api/sites/demo/pages -> 304 7ms
[2025-11-20T12:51:00.759Z] [INFO] GET /api/sites/demo/pages/content?path=index.html -> 304 2ms
[2025-11-20T12:51:00.883Z] [INFO] GET /api/sites/demo/tree -> 304 3ms
[2025-11-20T12:51:00.974Z] [INFO] GET /site/demo/index.html -> 304 98ms
[2025-11-20T12:51:01.187Z] [INFO] GET /api/sites/demo/data -> 304 275ms
[2025-11-20T12:51:18.149Z] [INFO] GET /admin -> 200 3ms
[2025-11-20T12:51:18.261Z] [INFO] GET /.well-known/appspecific/com.chrome.devtools.json -> 404 2ms
[2025-11-20T12:51:18.270Z] [INFO] GET /admin-static/style.css -> 304 4ms
[2025-11-20T12:51:18.274Z] [INFO] GET /admin-static/app.js -> 304 6ms
[2025-11-20T12:51:18.279Z] [INFO] GET /admin-static/utils.js -> 304 6ms
[2025-11-20T12:51:18.527Z] [INFO] GET /api/sites -> 304 5ms
[2025-11-20T12:51:18.681Z] [INFO] GET /api/sites/demo -> 304 1ms
[2025-11-20T12:51:19.403Z] [INFO] GET /api/sites/demo/pages -> 304 12ms
[2025-11-20T12:51:19.483Z] [INFO] GET /api/sites/demo/pages/content?path=index.html -> 304 3ms
[2025-11-20T12:51:19.578Z] [INFO] GET /api/sites/demo/tree -> 304 0ms
[2025-11-20T12:51:19.870Z] [INFO] GET /site/demo/index.html -> 304 298ms
[2025-11-20T12:51:19.957Z] [INFO] GET /api/sites/demo/data -> 304 134ms
[2025-11-20T12:51:34.207Z] [INFO] GET /api/sites/demo/pages/content?path=index.html -> 304 1ms
[2025-11-20T12:52:26.407Z] [INFO] AppBuilder prototype running on http://localhost:3000
[2025-11-20T12:52:30.834Z] [INFO] GET /admin -> 200 17ms
[2025-11-20T12:52:30.996Z] [INFO] GET /.well-known/appspecific/com.chrome.devtools.json -> 404 51ms
[2025-11-20T12:52:31.043Z] [INFO] GET /admin-static/style.css -> 304 28ms
[2025-11-20T12:52:31.079Z] [INFO] GET /admin-static/app.js -> 304 47ms
[2025-11-20T12:52:31.101Z] [INFO] GET /admin-static/utils.js -> 200 76ms
[2025-11-20T12:52:31.505Z] [INFO] GET /api/sites -> 304 6ms
[2025-11-20T12:52:32.204Z] [INFO] GET /api/sites/demo -> 304 2ms
[2025-11-20T12:52:32.450Z] [INFO] GET /api/sites/demo/pages -> 304 1ms
[2025-11-20T12:52:32.672Z] [INFO] GET /api/sites/demo/pages/content?path=index.html -> 304 1ms
[2025-11-20T12:52:32.693Z] [INFO] GET /api/sites/demo/tree -> 304 2ms
[2025-11-20T12:52:32.942Z] [INFO] GET /site/demo/index.html -> 304 259ms
[2025-11-20T12:52:32.960Z] [INFO] GET /api/sites/demo/data -> 304 261ms
[2025-11-20T12:52:33.740Z] [INFO] GET /api/sites/demo/pages/content?path=index.html -> 304 2ms
[2025-11-20T12:53:19.517Z] [INFO] GET /api/sites/demo/pages/content?path=index.html -> 304 2ms
[2025-11-20T12:54:57.686Z] [INFO] POST /api/sites/demo/pages/save -> 200 2ms
[2025-11-20T12:54:57.691Z] [INFO] GET /api/sites/demo -> 304 1ms
[2025-11-20T12:54:57.710Z] [INFO] GET /api/sites/demo/pages -> 304 2ms
[2025-11-20T12:54:57.719Z] [INFO] GET /api/sites/demo/tree -> 304 2ms
[2025-11-20T12:54:58.003Z] [INFO] GET /site/demo/ -> 200 302ms
[2025-11-20T12:54:58.007Z] [INFO] GET /api/sites/demo/data -> 304 283ms
[2025-11-20T12:54:58.254Z] [INFO] GET /site/demo/index.html?t=1763643298152 -> 200 93ms
[2025-11-20T12:55:21.728Z] [INFO] POST /api/sites/demo/pages/save -> 200 2ms
[2025-11-20T12:55:22.095Z] [INFO] GET /site/demo/index.html?t=1763643321730 -> 200 357ms
[2025-11-20T12:55:25.784Z] [INFO] GET /site/demo/index.html -> 200 115ms
[2025-11-20T13:27:40.201Z] [INFO] POST /api/sites/demo/endpoints/userApi/execute -> 200 311ms
[2025-11-20T13:27:40.213Z] [INFO] endpoint execute result {"status":200,"data":{"id":1,"name":"Leanne Graham","username":"Bret","email":"Sincere@april.biz","address":{"street":"Kulas Light","suite":"Apt. 556","city":"Gwenborough","zipcode":"92998-3874","geo":{"lat":"-37.3159","lng":"81.1496"}},"phone":"1-770-736-8031 x56442","website":"hildegard.org","company":{"name":"Romaguera-Crona","catchPhrase":"Multi-layered client-server neural-net","bs":"harness real-time e-markets"}},"headers":{"date":"Thu, 20 Nov 2025 13:27:40 GMT","content-type":"application/json; charset=utf-8","transfer-encoding":"chunked","connection":"keep-alive","access-control-allow-credentials":"true","cache-control":"max-age=43200","etag":"W/\"1fd-+2Y3G3w049iSZtw5t1mzSnunngE\"","expires":"-1","nel":"{\"report_to\":\"heroku-nel\",\"response_headers\":[\"Via\"],\"max_age\":3600,\"success_fraction\":0.01,\"failure_fraction\":0.1}","pragma":"no-cache","report-to":"{\"group\":\"heroku-nel\",\"endpoints\":[{\"url\":\"https://nel.heroku.com/reports?s=4jCdy%2BVLIi9AVDADbJVRgmtrnMWM0gJlTazYbhZYBzk%3D\\u0026sid=e11707d5-02a7-43ef-b45e-2cf4d2036f7d\\u0026ts=1763632329\"}],\"max_age\":3600}","reporting-endpoints":"heroku-nel=\"https://nel.heroku.com/reports?s=4jCdy%2BVLIi9AVDADbJVRgmtrnMWM0gJlTazYbhZYBzk%3D&sid=e11707d5-02a7-43ef-b45e-2cf4d2036f7d&ts=1763632329\"","server":"cloudflare","vary":"Origin, Accept-Encoding","via":"2.0 heroku-router","x-content-type-options":"nosniff","x-powered-by":"Express","x-ratelimit-limit":"1000","x-ratelimit-remaining":"985","x-ratelimit-reset":"1763632385","age":"12930","cf-cache-status":"HIT","cf-ray":"9a18493d5a54fd36-SIN","alt-svc":"h3=\":443\"; ma=86400"}}
[2025-11-20T13:27:40.217Z] [INFO] POST /api/logs -> 200 4ms
[2025-11-20T13:28:06.648Z] [INFO] POST /api/sites/demo/apis -> 200 5ms
[2025-11-20T13:28:06.657Z] [INFO] GET /api/sites/demo -> 200 1ms
[2025-11-20T13:28:06.686Z] [INFO] GET /api/sites/demo/pages -> 304 5ms
[2025-11-20T13:28:06.698Z] [INFO] GET /api/sites/demo/tree -> 304 3ms
[2025-11-20T13:28:07.063Z] [INFO] GET /site/demo/ -> 200 389ms
[2025-11-20T13:28:07.080Z] [INFO] GET /api/sites/demo/data -> 200 374ms
[2025-11-20T13:29:01.878Z] [INFO] POST /api/sites/demo/pages/save -> 200 2ms
[2025-11-20T13:29:02.359Z] [INFO] GET /site/demo/index.html?t=1763645341881 -> 200 474ms
[2025-11-20T13:29:03.241Z] [INFO] GET /site/demo/index.html -> 200 242ms
[2025-11-20T13:29:36.327Z] [INFO] POST /api/sites/demo/pages/save -> 200 3ms
[2025-11-20T13:29:36.755Z] [INFO] GET /site/demo/index.html?t=1763645376331 -> 200 415ms
[2025-11-20T13:29:37.605Z] [INFO] GET /site/demo/index.html -> 200 278ms
[2025-11-20T13:29:57.820Z] [INFO] POST /api/sites/demo/pages/save -> 200 1ms
[2025-11-20T13:29:58.299Z] [INFO] GET /site/demo/index.html?t=1763645397823 -> 200 471ms
[2025-11-20T13:29:58.993Z] [INFO] GET /site/demo/index.html -> 200 267ms
[2025-11-20T13:31:49.775Z] [INFO] GET /api/sites/demo -> 304 2ms
[2025-11-20T13:31:49.799Z] [INFO] GET /api/sites/demo/pages -> 304 2ms
[2025-11-20T13:31:49.805Z] [INFO] GET /api/sites/demo/tree -> 304 1ms
[2025-11-20T13:31:50.204Z] [INFO] GET /site/demo/ -> 200 413ms
[2025-11-20T13:31:50.212Z] [INFO] GET /api/sites/demo/data -> 304 399ms
[2025-11-20T13:31:51.692Z] [INFO] GET /api/sites/demo/pages/content?path=index.html -> 200 2ms
[2025-11-20T13:31:51.914Z] [INFO] GET /site/demo/index.html -> 200 210ms
[2025-11-20T13:35:24.528Z] [INFO] GET /admin -> 200 4ms
[2025-11-20T13:35:24.674Z] [INFO] GET /.well-known/appspecific/com.chrome.devtools.json -> 404 1ms
[2025-11-20T13:35:24.728Z] [INFO] GET /admin-static/style.css -> 304 3ms
[2025-11-20T13:35:24.750Z] [INFO] GET /admin-static/utils.js -> 304 9ms
[2025-11-20T13:35:24.771Z] [INFO] GET /admin-static/app.js -> 200 30ms
[2025-11-20T13:35:25.452Z] [INFO] GET /api/sites -> 200 2ms
[2025-11-20T13:35:26.182Z] [INFO] GET /api/sites/demo -> 304 33ms
[2025-11-20T13:35:26.473Z] [INFO] GET /api/sites/demo/pages -> 304 3ms
[2025-11-20T13:35:26.554Z] [INFO] GET /api/sites/demo/pages/content?path=index.html -> 304 4ms
[2025-11-20T13:35:26.854Z] [INFO] GET /api/sites/demo/tree -> 304 1ms
[2025-11-20T13:35:27.237Z] [INFO] GET /site/demo/index.html -> 304 389ms
[2025-11-20T13:35:27.240Z] [INFO] GET /api/sites/demo/data -> 304 379ms
[2025-11-20T13:35:40.431Z] [INFO] POST /api/sites/demo/pages/save -> 200 6ms
[2025-11-20T13:35:40.441Z] [INFO] GET /api/sites/demo -> 304 2ms
[2025-11-20T13:35:40.460Z] [INFO] GET /api/sites/demo/pages -> 200 1ms
[2025-11-20T13:35:40.470Z] [INFO] GET /api/sites/demo/tree -> 200 2ms
[2025-11-20T13:35:40.879Z] [INFO] GET /site/demo/ -> 200 426ms
[2025-11-20T13:35:40.950Z] [INFO] GET /api/sites/demo/data -> 304 475ms
[2025-11-20T13:35:41.035Z] [INFO] GET /api/sites/demo/pages/content?path=pp.html -> 200 1ms
[2025-11-20T13:35:41.508Z] [INFO] GET /site/demo/pp.html -> 200 236ms
[2025-11-20T13:35:41.950Z] [INFO] GET /api/sites/demo/pages/content?path=pp.html -> 304 2ms
[2025-11-20T13:35:42.264Z] [INFO] GET /site/demo/pp.html -> 304 302ms
[2025-11-20T13:35:43.916Z] [INFO] GET /api/sites/demo/pages/content?path=pp.html -> 304 2ms
[2025-11-20T13:35:44.203Z] [INFO] GET /site/demo/pp.html -> 304 275ms
[2025-11-20T13:37:03.968Z] [INFO] GET /admin -> 200 9ms
[2025-11-20T13:37:04.191Z] [INFO] GET /.well-known/appspecific/com.chrome.devtools.json -> 404 2ms
[2025-11-20T13:37:04.293Z] [INFO] GET /admin-static/style.css -> 304 32ms
[2025-11-20T13:37:04.363Z] [INFO] GET /admin-static/utils.js -> 304 75ms
[2025-11-20T13:37:04.410Z] [INFO] GET /admin-static/app.js -> 200 119ms
[2025-11-20T13:37:05.084Z] [INFO] GET /api/sites -> 304 6ms
[2025-11-20T13:37:06.305Z] [INFO] GET /api/sites/demo -> 304 6ms
[2025-11-20T13:37:06.529Z] [INFO] GET /api/sites/demo/pages -> 304 8ms
[2025-11-20T13:37:06.660Z] [INFO] GET /api/sites/demo/pages/content?path=index.html -> 304 1ms
[2025-11-20T13:37:06.708Z] [INFO] GET /api/sites/demo/tree -> 304 4ms
[2025-11-20T13:37:07.179Z] [INFO] GET /api/sites/demo/data -> 304 436ms
[2025-11-20T13:37:07.197Z] [INFO] GET /site/demo/index.html -> 304 503ms
[2025-11-20T13:38:12.221Z] [INFO] GET /admin -> 304 5ms
[2025-11-20T13:38:12.320Z] [INFO] GET /.well-known/appspecific/com.chrome.devtools.json -> 404 2ms
[2025-11-20T13:38:12.456Z] [INFO] GET /admin-static/utils.js -> 304 21ms
[2025-11-20T13:38:12.476Z] [INFO] GET /admin-static/style.css -> 200 131ms
[2025-11-20T13:38:12.491Z] [INFO] GET /admin-static/app.js -> 200 19ms
[2025-11-20T13:38:12.959Z] [INFO] GET /api/sites -> 304 2ms
[2025-11-20T13:38:14.045Z] [INFO] GET /api/sites/demo -> 304 4ms
[2025-11-20T13:38:14.331Z] [INFO] GET /api/sites/demo/pages -> 304 2ms
[2025-11-20T13:38:14.358Z] [INFO] GET /api/sites/demo/pages/content?path=index.html -> 304 2ms
[2025-11-20T13:38:14.481Z] [INFO] GET /api/sites/demo/tree -> 304 10ms
